,match_url,home_formation,home_team,home_goals,away_goals,away_team,away_formation,home_xi_numbers,home_xi_names,away_xi_numbers,away_xi_names,home_sequence,away_sequence,home_xi_sofifa_ids,away_xi_sofifa_ids
0,https://www.premierleague.com/match/38332,4-3-3,Liverpool,1,0,Brighton and Hove Albion,4-5-1,"13,66,12,4,26,7,5,8,11,9,10","Alisson,Trent Alexander-Arnold,Joseph Gomez,Virgil van Dijk,Andrew Robertson,James Milner,Georginio Wijnaldum,Naby Keïta,Mohamed Salah,Roberto Firmino,Sadio Mané","1,22,4,14,3,24,6,8,11,20,17","Mat Ryan,Martín Montoya,Shane Duffy,Leon Balogun,Gaëtan Bong,Davy Pröpper,Dale Stephens,Yves Bissouma,Anthony Knockaert,Solly March,Glenn Murray","C,R,CR,CL,L,RL,C,LR,RL,C,LR","C,R,CR,CL,L,R,CR,C,CL,L,C","212831.0,231281.0,225100.0,203376.0,216267.0,138412.0,181291.0,220971.0,209331.0,201942.0,208722.0","199005.0,194644.0,192622.0,188182.0,177766.0,193158.0,182184.0,236480.0,203910.0,206594.0,172937.0"
1,https://www.premierleague.com/match/38568,4-2-3-1,Arsenal,2,0,Southampton,3-5-1-1,"19,12,20,5,31,11,34,7,8,17,9","Bernd Leno,Stephan Lichtsteiner,Shkodran Mustafi,Sokratis Papastathopoulos,Sead Kolasinac,Lucas Torreira,Granit Xhaka,Henrikh Mkhitaryan,Aaron Ramsey,Alex Iwobi,Alexandre Lacazette","28,35,5,4,43,23,14,16,33,17,22","Angus Gunn,Jan Bednarek,Jack Stephens,Jannik Vestergaard,Yan Valery,Pierre-Emile Højbjerg,Oriol Romeu,James Ward-Prowse,Matt Targett,Stuart Armstrong,Nathan Redmond","C,R,CR,CL,L,CR,CL,RL,C,LR,C","C,RL,C,LR,R,CR,C,CL,L,C,C","192563.0,108080.0,192227.0,172879.0,207993.0,223959.0,199503.0,192883.0,186561.0,213655.0,193301.0","216325.0,220570.0,202697.0,202849.0,236316.0,213648.0,199576.0,205569.0,218659.0,202282.0,198719.0"
2,https://www.premierleague.com/match/38392,4-2-3-1,Everton,2,0,Crystal Palace,4-4-2,"1,23,4,5,12,8,17,11,10,20,30","Jordan Pickford,Séamus Coleman,Michael Keane,Kurt Zouma,Lucas Digne,André Gomes,Idrissa Gueye,Theo Walcott,Gylfi Sigurdsson,Bernard,Richarlison","13,29,5,12,3,18,4,8,15,10,11","Wayne Hennessey,Aaron Wan-Bissaka,James Tomkins,Mamadou Sakho,Patrick van Aanholt,James McArthur,Luka Milivojevic,Cheikhou Kouyaté,Jeffrey Schlupp,Andros Townsend,Wilfried Zaha","C,R,CR,CL,L,CR,CL,RL,C,LR,C","C,R,CR,CL,L,R,CR,CL,L,CR,CL","204935.0,180216.0,207599.0,204311.0,200458.0,211575.0,193474.0,164859.0,184484.0,205525.0,231943.0","170084.0,229880.0,173546.0,183285.0,186190.0,171972.0,206304.0,186801.0,200759.0,194932.0,198717.0"
3,https://www.premierleague.com/match/38563,4-3-3,Manchester City,6,0,Chelsea,4-3-3,"31,2,5,14,35,17,25,8,20,10,7","Ederson,Kyle Walker,John Stones,Aymeric Laporte,Oleksandr Zinchenko,Kevin De Bruyne,Fernandinho,Ilkay Gündogan,Bernardo Silva,Sergio Agüero,Raheem Sterling","1,28,2,30,3,7,5,8,11,9,10","Kepa Arrizabalaga,César Azpilicueta,Antonio Rüdiger,David Luiz,Marcos Alonso,N'Golo Kanté,Jorginho,Ross Barkley,Pedro,Gonzalo Higuaín,Eden Hazard","C,R,CR,CL,L,RL,C,LR,RL,C,LR","C,R,CR,CL,L,RL,C,LR,RL,C,LR","210257.0,188377.0,203574.0,212218.0,227813.0,192985.0,135507.0,186942.0,218667.0,153079.0,202652.0","206585.0,184432.0,205452.0,179944.0,192638.0,215914.0,205498.0,199189.0,189505.0,167664.0,183277.0"
4,https://www.premierleague.com/match/38503,4-2-3-1,Liverpool,5,1,Arsenal,4-2-3-1,"13,66,6,4,26,5,3,23,9,10,11","Alisson,Trent Alexander-Arnold,Dejan Lovren,Virgil van Dijk,Andrew Robertson,Georginio Wijnaldum,Fabinho,Xherdan Shaqiri,Roberto Firmino,Sadio Mané,Mohamed Salah","19,12,20,5,31,11,34,15,8,17,14","Bernd Leno,Stephan Lichtsteiner,Shkodran Mustafi,Sokratis Papastathopoulos,Sead Kolasinac,Lucas Torreira,Granit Xhaka,Ainsley Maitland-Niles,Aaron Ramsey,Alex Iwobi,Pierre-Emerick Aubameyang","C,R,CR,CL,L,CR,CL,RL,C,LR,C","C,R,CR,CL,L,CR,CL,RL,C,LR,C","212831.0,231281.0,195086.0,203376.0,216267.0,181291.0,209499.0,193348.0,201942.0,208722.0,209331.0","192563.0,108080.0,192227.0,172879.0,207993.0,223959.0,199503.0,225782.0,186561.0,213655.0,188567.0"
5,https://www.premierleague.com/match/38445,4-3-3,Manchester City,3,1,AFC Bournemouth,5-4-1,"31,3,30,14,35,20,25,8,7,33,19","Ederson,Danilo,Nicolás Otamendi,Aymeric Laporte,Oleksandr Zinchenko,Bernardo Silva,Fernandinho,Ilkay Gündogan,Raheem Sterling,Gabriel Jesus,Leroy Sané","27,2,3,5,26,11,17,16,6,24,13","Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Tyrone Mings,Charlie Daniels,Joshua King,Lewis Cook,Andrew Surman,Ryan Fraser,Callum Wilson","C,R,CR,CL,L,RL,C,LR,RL,C,LR","C,R,CR,C,CL,L,R,CR,CL,L,C","210257.0,199304.0,192366.0,212218.0,227813.0,218667.0,135507.0,186942.0,202652.0,230666.0,222492.0","172723.0,135883.0,193011.0,208920.0,212419.0,169638.0,185422.0,224294.0,172768.0,207807.0,196978.0"
6,https://www.premierleague.com/match/38387,4-2-2-2,Watford,0,4,AFC Bournemouth,4-4-2,"26,21,15,27,25,29,16,19,37,9,18","Ben Foster,Kiko Femenía,Craig Cathcart,Christian Kabasele,José Holebas,Etienne Capoue,Abdoulaye Doucouré,Will Hughes,Roberto Pereyra,Troy Deeney,Andre Gray","27,2,3,5,15,20,8,16,24,17,13","Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Adam Smith,David Brooks,Jefferson Lerma,Lewis Cook,Ryan Fraser,Joshua King,Callum Wilson","C,R,CR,CL,L,CR,CL,CR,CL,CR,CL","C,R,CR,CL,L,R,CR,CL,L,CR,CL","163155.0,189860.0,180706.0,190324.0,182744.0,178213.0,208135.0,206516.0,193061.0,183125.0,194138.0","172723.0,135883.0,193011.0,208920.0,190885.0,220196.0,213991.0,224294.0,207807.0,185422.0,196978.0"
7,https://www.premierleague.com/match/38524,4-3-3,Leicester City,1,2,Southampton,3-4-2-1,"1,14,5,15,3,38,24,25,11,9,10","Kasper Schmeichel,Ricardo Pereira,Wes Morgan,Harry Maguire,Ben Chilwell,Hamza Choudhury,Nampalys Mendy,Wilfred Ndidi,Marc Albrighton,Jamie Vardy,James Maddison","1,35,5,4,43,14,16,33,22,17,7","Alex McCarthy,Jan Bednarek,Jack Stephens,Jannik Vestergaard,Yan Valery,Oriol Romeu,James Ward-Prowse,Matt Targett,Nathan Redmond,Stuart Armstrong,Shane Long","C,R,CR,CL,L,RL,C,LR,RL,C,LR","C,RL,C,LR,R,CR,CL,L,CR,CL,C","163587.0,210243.0,136113.0,203263.0,229984.0,228332.0,198861.0,226790.0,183130.0,208830.0,220697.0","189324.0,220570.0,202697.0,202849.0,236316.0,199576.0,205569.0,218659.0,198719.0,202282.0,169216.0"
8,https://www.premierleague.com/match/38491,3-4-3,Fulham,1,1,Wolverhampton Wanderers,3-4-1-2,"25,4,26,13,22,5,24,23,47,9,14","Sergio Rico,Denis Odoi,Alfie Mawson,Tim Ream,Cyrus Christie,Calum Chambers,Jean Michael Seri,Joe Bryan,Aboubakar Kamara,Aleksandar Mitrovic,André Schürrle","11,5,16,15,2,28,27,19,17,37,9","Rui Patrício,Ryan Bennett,Conor Coady,Willy Boly,Matt Doherty,João Moutinho,Romain Saïss,Jonny,Morgan Gibbs-White,Adama Traoré,Raúl Jiménez","C,RL,C,LR,R,CR,CL,L,RL,C,LR","C,RL,C,LR,R,CR,CL,L,C,CR,CL","206652.0,185349.0,208534.0,198261.0,200778.0,205989.0,216451.0,203505.0,225541.0,215716.0,193130.0","178005.0,183774.0,202048.0,202750.0,201417.0,162347.0,208295.0,210455.0,236015.0,213956.0,204838.0"
9,https://www.premierleague.com/match/38354,4-4-2,Southampton,2,2,Brighton and Hove Albion,4-1-4-1,"1,2,4,6,21,11,18,23,22,7,9","Alex McCarthy,Cédric Soares,Jannik Vestergaard,Wesley Hoedt,Ryan Bertrand,Mohamed Elyounoussi,Mario Lemina,Pierre-Emile Højbjerg,Nathan Redmond,Shane Long,Danny Ings","1,22,4,5,3,6,11,24,8,20,17","Mat Ryan,Martín Montoya,Shane Duffy,Lewis Dunk,Gaëtan Bong,Dale Stephens,Anthony Knockaert,Davy Pröpper,Yves Bissouma,Solly March,Glenn Murray","C,R,CR,CL,L,R,CR,CL,L,CR,CL","C,R,CR,CL,L,C,R,CR,CL,L,C","189324.0,201118.0,202849.0,216774.0,169705.0,203362.0,212811.0,213648.0,198719.0,169216.0,195859.0","199005.0,194644.0,192622.0,199915.0,177766.0,182184.0,203910.0,193158.0,236480.0,206594.0,172937.0"
10,https://www.premierleague.com/match/38336,4-2-2-2,Watford,2,1,Crystal Palace,4-4-2,"26,2,15,27,25,16,29,19,37,18,9","Ben Foster,Daryl Janmaat,Craig Cathcart,Christian Kabasele,José Holebas,Abdoulaye Doucouré,Etienne Capoue,Will Hughes,Roberto Pereyra,Andre Gray,Troy Deeney","13,2,34,12,3,10,4,18,15,17,11","Wayne Hennessey,Joel Ward,Martin Kelly,Mamadou Sakho,Patrick van Aanholt,Andros Townsend,Luka Milivojevic,James McArthur,Jeffrey Schlupp,Christian Benteke,Wilfried Zaha","C,R,CR,CL,L,CR,CL,CR,CL,CR,CL","C,R,CR,CL,L,R,CR,CL,L,CR,CL","163155.0,188155.0,180706.0,190324.0,182744.0,208135.0,178213.0,206516.0,193061.0,194138.0,183125.0","170084.0,186392.0,184037.0,183285.0,186190.0,194932.0,206304.0,171972.0,200759.0,184111.0,198717.0"
11,https://www.premierleague.com/match/38377,3-4-2-1,Wolverhampton Wanderers,2,0,Southampton,4-4-2,"11,5,16,15,2,28,8,19,10,18,9","Rui Patrício,Ryan Bennett,Conor Coady,Willy Boly,Matt Doherty,João Moutinho,Rúben Neves,Jonny,Hélder Costa,Diogo Jota,Raúl Jiménez","1,2,4,6,21,11,18,23,22,10,9","Alex McCarthy,Cédric Soares,Jannik Vestergaard,Wesley Hoedt,Ryan Bertrand,Mohamed Elyounoussi,Mario Lemina,Pierre-Emile Højbjerg,Nathan Redmond,Charlie Austin,Danny Ings","C,RL,C,LR,R,CR,CL,L,CR,CL,C","C,R,CR,CL,L,R,CR,CL,L,CR,CL","178005.0,183774.0,202048.0,202750.0,201417.0,162347.0,224293.0,210455.0,221743.0,224458.0,204838.0","189324.0,201118.0,202849.0,216774.0,169705.0,203362.0,212811.0,213648.0,198719.0,195671.0,195859.0"
12,https://www.premierleague.com/match/38569,4-4-1-1,AFC Bournemouth,1,1,Wolverhampton Wanderers,3-5-2,"1,23,33,5,15,10,8,4,24,17,29","Artur Boruc,Nathaniel Clyne,Chris Mepham,Nathan Aké,Adam Smith,Jordon Ibe,Jefferson Lerma,Dan Gosling,Ryan Fraser,Joshua King,Dominic Solanke","11,5,16,15,2,32,8,28,19,9,18","Rui Patrício,Ryan Bennett,Conor Coady,Willy Boly,Matt Doherty,Leander Dendoncker,Rúben Neves,João Moutinho,Jonny,Raúl Jiménez,Diogo Jota","C,R,CR,CL,L,R,CR,CL,L,C,C","C,RL,C,LR,R,CR,C,CL,L,CR,CL","105846.0,190456.0,233201.0,208920.0,190885.0,205540.0,213991.0,184749.0,207807.0,185422.0,225539.0","178005.0,183774.0,202048.0,202750.0,201417.0,212501.0,224293.0,162347.0,210455.0,204838.0,224458.0"
13,https://www.premierleague.com/match/38390,4-4-1-1,Cardiff City,4,2,Fulham,4-3-3,"1,5,4,22,3,21,17,7,11,14,13","Neil Etheridge,Bruno Ecuele Manga,Sean Morrison,Sol Bamba,Joe Bennett,Víctor Camarasa,Aron Gunnarsson,Harry Arter,Josh Murphy,Bobby De Cordova-Reid,Callum Paterson","1,5,4,13,20,8,6,24,14,9,3","Marcus Bettinelli,Calum Chambers,Denis Odoi,Tim Ream,Maxime Le Marchand,Stefan Johansen,Kevin McDonald,Jean Michael Seri,André Schürrle,Aleksandar Mitrovic,Ryan Sessegnon","C,R,CR,CL,L,R,CR,CL,L,C,C","C,R,CR,CL,L,RL,C,LR,RL,C,LR","193186.0,188270.0,187033.0,172425.0,190430.0,219571.0,189167.0,184469.0,206083.0,203502.0,210724.0","204246.0,205989.0,185349.0,198261.0,192725.0,187043.0,175314.0,216451.0,193130.0,215716.0,235883.0"
14,https://www.premierleague.com/match/38335,4-4-2,Southampton,1,2,Leicester City,4-2-3-1,"1,2,4,6,21,11,18,23,22,7,9","Alex McCarthy,Cédric Soares,Jannik Vestergaard,Wesley Hoedt,Ryan Bertrand,Mohamed Elyounoussi,Mario Lemina,Pierre-Emile Højbjerg,Nathan Redmond,Shane Long,Danny Ings","1,18,5,15,3,24,25,14,10,7,8","Kasper Schmeichel,Daniel Amartey,Wes Morgan,Harry Maguire,Ben Chilwell,Nampalys Mendy,Wilfred Ndidi,Ricardo Pereira,James Maddison,Demarai Gray,Kelechi Iheanacho","C,R,CR,CL,L,R,CR,CL,L,CR,CL","C,R,CR,CL,L,CR,CL,RL,C,LR,C","189324.0,201118.0,202849.0,216774.0,169705.0,203362.0,212811.0,213648.0,198719.0,169216.0,195859.0","163587.0,212883.0,136113.0,203263.0,229984.0,198861.0,226790.0,210243.0,220697.0,220633.0,225719.0"
15,https://www.premierleague.com/match/38309,4-4-2,AFC Bournemouth,2,0,Cardiff City,4-1-4-1,"27,15,3,5,11,20,6,4,24,13,17","Asmir Begovic,Adam Smith,Steve Cook,Nathan Aké,Charlie Daniels,David Brooks,Andrew Surman,Dan Gosling,Ryan Fraser,Callum Wilson,Joshua King","1,2,4,5,3,22,19,13,8,33,14","Neil Etheridge,Lee Peltier,Sean Morrison,Bruno Ecuele Manga,Joe Bennett,Sol Bamba,Nathaniel Mendez-Laing,Callum Paterson,Joe Ralls,David Junior Hoilett,Bobby De Cordova-Reid","C,R,CR,CL,L,R,CR,CL,L,CR,CL","C,R,CR,CL,L,C,R,CR,CL,L,C","172723.0,190885.0,193011.0,208920.0,169638.0,220196.0,172768.0,184749.0,207807.0,196978.0,185422.0","193186.0,169575.0,187033.0,188270.0,190430.0,172425.0,194964.0,210724.0,204464.0,189462.0,203502.0"
16,https://www.premierleague.com/match/38607,3-4-2-1,Southampton,2,1,Tottenham Hotspur,4-1-2-1-2,"28,35,3,4,43,14,23,21,16,22,10","Angus Gunn,Jan Bednarek,Maya Yoshida,Jannik Vestergaard,Yan Valery,Oriol Romeu,Pierre-Emile Højbjerg,Ryan Bertrand,James Ward-Prowse,Nathan Redmond,Charlie Austin","1,16,6,5,3,15,17,23,20,27,10","Hugo Lloris,Kyle Walker-Peters,Davinson Sánchez,Jan Vertonghen,Danny Rose,Eric Dier,Moussa Sissoko,Christian Eriksen,Dele Alli,Lucas Moura,Harry Kane","C,RL,C,LR,R,CR,CL,L,CR,CL,C","C,R,CR,CL,L,C,RL,LR,C,CR,CL","216325.0,220570.0,191648.0,202849.0,236316.0,199576.0,213648.0,169705.0,205569.0,198719.0,195671.0","167948.0,227927.0,220793.0,172871.0,169595.0,202335.0,183394.0,190460.0,211117.0,200949.0,202126.0"
17,https://www.premierleague.com/match/38443,4-2-3-1,Leicester City,2,0,Watford,4-2-2-2,"1,14,5,6,3,24,25,11,10,7,9","Kasper Schmeichel,Ricardo Pereira,Wes Morgan,Jonny Evans,Ben Chilwell,Nampalys Mendy,Wilfred Ndidi,Marc Albrighton,James Maddison,Demarai Gray,Jamie Vardy","26,21,6,15,25,16,29,19,37,7,10","Ben Foster,Kiko Femenía,Adrian Mariappa,Craig Cathcart,José Holebas,Abdoulaye Doucouré,Etienne Capoue,Will Hughes,Roberto Pereyra,Gerard Deulofeu,Isaac Success","C,R,CR,CL,L,CR,CL,RL,C,LR,C","C,R,CR,CL,L,CR,CL,CR,CL,CR,CL","163587.0,210243.0,136113.0,169588.0,229984.0,198861.0,226790.0,183130.0,220697.0,220633.0,208830.0","163155.0,189860.0,172953.0,180706.0,182744.0,208135.0,178213.0,206516.0,193061.0,202477.0,222634.0"
18,https://www.premierleague.com/match/38675,5-4-1,Newcastle United,2,3,Liverpool,4-3-3,"12,19,5,6,3,11,17,14,4,30,9","Martin Dúbravka,Javier Manquillo,Fabian Schär,Jamaal Lascelles,Paul Dummett,Matt Ritchie,Ayoze Pérez,Isaac Hayden,Ki Sung-Yueng,Christian Atsu,Salomón Rondón","13,66,6,4,26,14,3,5,11,15,10","Alisson,Trent Alexander-Arnold,Dejan Lovren,Virgil van Dijk,Andrew Robertson,Jordan Henderson,Fabinho,Georginio Wijnaldum,Mohamed Salah,Daniel Sturridge,Sadio Mané","C,R,CR,C,CL,L,R,CR,CL,L,C","C,R,CR,CL,L,RL,C,LR,RL,C,LR","220407.0,210972.0,210047.0,203487.0,204355.0,186395.0,215590.0,206115.0,198082.0,205601.0,189250.0","212831.0,231281.0,195086.0,203376.0,216267.0,183711.0,209499.0,181291.0,209331.0,171833.0,208722.0"
19,https://www.premierleague.com/match/38486,4-4-2,West Ham United,0,2,Watford,4-2-2-2,"1,5,4,23,26,11,16,41,8,30,17","Lukasz Fabianski,Pablo Zabaleta,Fabián Balbuena,Issa Diop,Arthur Masuaku,Robert Snodgrass,Mark Noble,Declan Rice,Felipe Anderson,Michail Antonio,Chicharito","26,21,27,15,25,16,29,12,37,7,9","Ben Foster,Kiko Femenía,Christian Kabasele,Craig Cathcart,José Holebas,Abdoulaye Doucouré,Etienne Capoue,Ken Sema,Roberto Pereyra,Gerard Deulofeu,Troy Deeney","C,R,CR,CL,L,R,CR,CL,L,CR,CL","C,R,CR,CL,L,CR,CL,CR,CL,CR,CL","164835.0,142784.0,228229.0,231633.0,212491.0,155946.0,152879.0,234378.0,201995.0,190717.0,178224.0","163155.0,189860.0,190324.0,180706.0,182744.0,208135.0,178213.0,213750.0,193061.0,202477.0,183125.0"
20,https://www.premierleague.com/match/38353,4-4-1-1,Newcastle United,1,2,Arsenal,4-2-3-1,"12,22,6,18,3,11,14,10,7,17,21","Martin Dúbravka,DeAndre Yedlin,Jamaal Lascelles,Federico Fernández,Paul Dummett,Matt Ritchie,Isaac Hayden,Mohamed Diamé,Jacob Murphy,Ayoze Pérez,Joselu","1,2,20,5,18,29,34,10,8,14,9","Petr Cech,Héctor Bellerín,Shkodran Mustafi,Sokratis Papastathopoulos,Nacho Monreal,Mattéo Guendouzi,Granit Xhaka,Mesut Özil,Aaron Ramsey,Pierre-Emerick Aubameyang,Alexandre Lacazette","C,R,CR,CL,L,R,CR,CL,L,C,C","C,R,CR,CL,L,CR,CL,RL,C,LR,C","220407.0,212722.0,203487.0,201988.0,204355.0,186395.0,206115.0,188556.0,206085.0,215590.0,173608.0","48940.0,203747.0,192227.0,172879.0,177604.0,236496.0,199503.0,176635.0,186561.0,188567.0,193301.0"
21,https://www.premierleague.com/match/38437,3-4-3,Wolverhampton Wanderers,0,2,Huddersfield Town,3-5-1-1,"11,5,16,15,2,28,8,29,10,9,7","Rui Patrício,Ryan Bennett,Conor Coady,Willy Boly,Matt Doherty,João Moutinho,Rúben Neves,Rúben Vinagre,Hélder Costa,Raúl Jiménez,Ivan Cavaleiro","1,2,26,5,33,10,6,8,37,21,24","Jonas Lössl,Tommy Smith,Christopher Schindler,Terence Kongolo,Florent Hadergjonaj,Aaron Mooy,Jonathan Hogg,Philip Billing,Erik Durm,Alex Pritchard,Steve Mounié","C,RL,C,LR,R,CR,CL,L,RL,C,LR","C,RL,C,LR,R,CR,C,CL,L,C,C","178005.0,183774.0,202048.0,202750.0,201417.0,162347.0,224293.0,235172.0,221743.0,204838.0,212267.0","172553.0,203783.0,200607.0,203485.0,220620.0,194958.0,183546.0,220714.0,207920.0,205351.0,224883.0"
