,match_url,home_formation,home_team,home_goals,away_goals,away_team,away_formation,home_xi_numbers,home_xi_names,away_xi_numbers,away_xi_names,home_sequence,away_sequence,home_xi_sofifa_ids,away_xi_sofifa_ids
0,https://www.premierleague.com/match/22580,5-4-1,Swansea City,1,0,Liverpool,4-2-3-1,"1,26,5,33,6,16,12,8,4,17,18","Lukasz Fabianski,Kyle Naughton,Mike van der Hoorn,Federico Fernández,Alfie Mawson,Martin Olsson,Nathan Dyer,Leroy Fer,Ki Sung-Yueng,Sam Clucas,Jordan Ayew","1,12,32,4,26,23,5,11,21,19,9","Loris Karius,Joseph Gomez,Joel Matip,Virgil van Dijk,Andrew Robertson,Emre Can,Georginio Wijnaldum,Mohamed Salah,Alex Oxlade-Chamberlain,Sadio Mané,Roberto Firmino","C,R,CR,C,CL,L,R,CR,CL,L,C","C,R,CR,CL,L,CR,CL,RL,C,LR,C","164835.0,184456.0,207725.0,201988.0,208534.0,184472.0,173436.0,186351.0,180283.0,193884.0,197756.0","203775.0,225100.0,197061.0,203376.0,216267.0,208333.0,181291.0,209331.0,198784.0,208722.0,201942.0"
1,https://www.premierleague.com/match/22639,4-3-3,Stoke City,0,2,Manchester City,4-3-3,"1,2,6,15,21,4,20,27,22,11,10","Jack Butland,Moritz Bauer,Kurt Zouma,Bruno Martins Indi,Konstantinos Stafylidis,Joe Allen,Geoff Cameron,Badou Ndiaye,Xherdan Shaqiri,Jesé,Eric Maxim Choupo-Moting","31,2,4,30,35,17,25,21,7,33,19","Ederson,Kyle Walker,Vincent Kompany,Nicolás Otamendi,Oleksandr Zinchenko,Kevin De Bruyne,Fernandinho,David Silva,Raheem Sterling,Gabriel Jesus,Leroy Sané","C,R,CR,CL,L,RL,C,LR,RL,C,LR","C,R,CR,CL,L,RL,C,LR,RL,C,LR","203042.0,204904.0,204311.0,199550.0,202151.0,184716.0,186672.0,221000.0,193348.0,202515.0,183569.0","210257.0,188377.0,139720.0,192366.0,227813.0,192985.0,135507.0,168542.0,202652.0,230666.0,222492.0"
2,https://www.premierleague.com/match/22467,4-4-2,Newcastle United,0,3,Watford,3-4-2-1,"1,22,20,2,19,11,8,10,7,9,21","Robert Elliot,DeAndre Yedlin,Florian Lejeune,Ciaran Clark,Javier Manquillo,Matt Ritchie,Jonjo Shelvey,Mohamed Diamé,Jacob Murphy,Dwight Gayle,Joselu","1,6,27,3,21,16,8,22,19,11,18","Heurelho Gomes,Adrian Mariappa,Christian Kabasele,Miguel Britos,Kiko Femenía,Abdoulaye Doucouré,Tom Cleverley,Marvin Zeegelaar,Will Hughes,Richarlison,Andre Gray","C,R,CR,CL,L,R,CR,CL,L,CR,CL","C,RL,C,LR,R,CR,CL,L,CR,CL,C","167931.0,212722.0,197948.0,183129.0,210972.0,186395.0,189165.0,188556.0,206085.0,240560.0,173608.0","135451.0,172953.0,190324.0,189067.0,189860.0,208135.0,189725.0,193062.0,206516.0,231943.0,194138.0"
3,https://www.premierleague.com/match/22656,4-2-3-1,Everton,1,3,Manchester City,3-5-2,"1,23,6,4,3,10,2,11,29,7,14","Jordan Pickford,Séamus Coleman,Phil Jagielka,Michael Keane,Leighton Baines,Wayne Rooney,Morgan Schneiderlin,Theo Walcott,Dominic Calvert-Lewin,Yannick Bolasie,Cenk Tosun","31,30,4,14,2,17,25,21,19,7,33","Ederson,Nicolás Otamendi,Vincent Kompany,Aymeric Laporte,Kyle Walker,Kevin De Bruyne,Fernandinho,David Silva,Leroy Sané,Raheem Sterling,Gabriel Jesus","C,R,CR,CL,L,CR,CL,RL,C,LR,C","C,RL,C,LR,R,CR,C,CL,L,CR,CL","204935.0,180216.0,53914.0,207599.0,163631.0,54050.0,177358.0,164859.0,221479.0,189157.0,192991.0","210257.0,192366.0,139720.0,212218.0,188377.0,192985.0,135507.0,168542.0,222492.0,202652.0,230666.0"
4,https://www.premierleague.com/match/22427,4-1-2-1-2,Southampton,1,0,West Bromwich Albion,4-5-1,"44,2,3,17,21,14,18,8,11,7,20","Fraser Forster,Cédric Soares,Maya Yoshida,Virgil van Dijk,Ryan Bertrand,Oriol Romeu,Mario Lemina,Steven Davis,Dusan Tadic,Shane Long,Manolo Gabbiadini","1,25,6,26,3,20,8,18,19,22,9","Ben Foster,Craig Dawson,Jonny Evans,Ahmed Hegazi,Kieran Gibbs,Grzegorz Krychowiak,Jake Livermore,Gareth Barry,Jay Rodriguez,Nacer Chadli,Salomón Rondón","C,R,CR,CL,L,C,RL,LR,C,CR,CL","C,R,CR,CL,L,R,CR,C,CL,L,C","172203.0,201118.0,191648.0,203376.0,169705.0,199576.0,212811.0,151508.0,199434.0,169216.0,198683.0","163155.0,194806.0,169588.0,210648.0,186115.0,197242.0,189059.0,6826.0,169792.0,200529.0,189250.0"
5,https://www.premierleague.com/match/22462,4-4-1-1,Burnley,0,1,Arsenal,3-4-2-1,"29,2,5,6,23,17,16,4,12,13,10","Nick Pope,Matthew Lowton,James Tarkowski,Ben Mee,Stephen Ward,Jóhann Gudmundsson,Steven Defour,Jack Cork,Robbie Brady,Jeff Hendrick,Ashley Barnes","33,6,20,18,24,8,29,31,17,7,9","Petr Cech,Laurent Koscielny,Shkodran Mustafi,Nacho Monreal,Héctor Bellerín,Aaron Ramsey,Granit Xhaka,Sead Kolasinac,Alex Iwobi,Alexis Sánchez,Alexandre Lacazette","C,R,CR,CL,L,R,CR,CL,L,C,C","C,RL,C,LR,R,CR,CL,L,CR,CL,C","203841.0,199633.0,202695.0,189682.0,165321.0,191076.0,170815.0,169706.0,201884.0,200478.0,186905.0","48940.0,165229.0,192227.0,177604.0,203747.0,186561.0,199503.0,207993.0,213655.0,184941.0,193301.0"
6,https://www.premierleague.com/match/22470,3-5-2,Tottenham Hotspur,1,1,West Bromwich Albion,3-5-2,"1,15,6,5,2,23,29,20,33,10,7","Hugo Lloris,Eric Dier,Davinson Sánchez,Jan Vertonghen,Kieran Trippier,Christian Eriksen,Harry Winks,Dele Alli,Ben Davies,Harry Kane,Son Heung-Min","1,2,26,6,10,18,8,28,3,19,9","Ben Foster,Allan-Roméo Nyom,Ahmed Hegazi,Jonny Evans,Matt Phillips,Gareth Barry,Jake Livermore,Sam Field,Kieran Gibbs,Jay Rodriguez,Salomón Rondón","C,RL,C,LR,R,CR,C,CL,L,CR,CL","C,RL,C,LR,R,CR,C,CL,L,CR,CL","167948.0,202335.0,220793.0,172871.0,186345.0,190460.0,222400.0,211117.0,205923.0,202126.0,198622.0","163155.0,192667.0,210648.0,169588.0,188166.0,6826.0,189059.0,233957.0,186115.0,169792.0,189250.0"
7,https://www.premierleague.com/match/22711,4-4-1-1,West Bromwich Albion,1,0,Tottenham Hotspur,3-4-2-1,"1,2,25,26,3,10,8,11,14,19,9","Ben Foster,Allan-Roméo Nyom,Craig Dawson,Ahmed Hegazi,Kieran Gibbs,Matt Phillips,Jake Livermore,Chris Brunt,James McClean,Jay Rodriguez,Salomón Rondón","1,4,6,5,2,23,12,3,11,20,10","Hugo Lloris,Toby Alderweireld,Davinson Sánchez,Jan Vertonghen,Kieran Trippier,Christian Eriksen,Victor Wanyama,Danny Rose,Erik Lamela,Dele Alli,Harry Kane","C,R,CR,CL,L,R,CR,CL,L,C,C","C,RL,C,LR,R,CR,CL,L,CR,CL,C","163155.0,192667.0,194806.0,210648.0,186115.0,188166.0,189059.0,52306.0,198489.0,169792.0,189250.0","167948.0,184087.0,220793.0,172871.0,186345.0,190460.0,188942.0,169595.0,170368.0,211117.0,202126.0"
8,https://www.premierleague.com/match/22453,4-4-1-1,AFC Bournemouth,4,0,Huddersfield Town,4-2-3-1,"27,2,3,5,11,33,6,8,7,17,13","Asmir Begovic,Simon Francis,Steve Cook,Nathan Aké,Charlie Daniels,Jordon Ibe,Andrew Surman,Harry Arter,Marc Pugh,Joshua King,Callum Wilson","1,33,25,14,3,10,19,9,22,17,20","Jonas Lössl,Florent Hadergjonaj,Zanka,Martin Cranie,Scott Malone,Aaron Mooy,Danny Williams,Elias Kachunga,Tom Ince,Rajiv van La Parra,Laurent Depoitre","C,R,CR,CL,L,R,CR,CL,L,C,C","C,R,CR,CL,L,CR,CL,RL,C,LR,C","172723.0,135883.0,193011.0,208920.0,169638.0,205540.0,172768.0,184469.0,166838.0,185422.0,196978.0","172553.0,220620.0,183491.0,156164.0,193185.0,194958.0,198194.0,201514.0,200521.0,188540.0,212933.0"
9,https://www.premierleague.com/match/22713,4-4-2,Crystal Palace,2,0,West Bromwich Albion,4-4-1-1,"13,29,5,12,3,18,7,4,8,10,11","Wayne Hennessey,Aaron Wan-Bissaka,James Tomkins,Mamadou Sakho,Patrick van Aanholt,James McArthur,Yohan Cabaye,Luka Milivojevic,Ruben Loftus-Cheek,Andros Townsend,Wilfried Zaha","1,2,25,26,3,19,8,11,14,20,9","Ben Foster,Allan-Roméo Nyom,Craig Dawson,Ahmed Hegazi,Kieran Gibbs,Jay Rodriguez,Jake Livermore,Chris Brunt,James McClean,Grzegorz Krychowiak,Salomón Rondón","C,R,CR,CL,L,R,CR,CL,L,CR,CL","C,R,CR,CL,L,R,CR,CL,L,C,C","170084.0,229880.0,173546.0,183285.0,186190.0,171972.0,167943.0,206304.0,213666.0,194932.0,198717.0","163155.0,192667.0,194806.0,210648.0,186115.0,169792.0,189059.0,52306.0,198489.0,197242.0,189250.0"
