match_url,result,B365H,B365A,B365D
https://www.premierleague.com/match/22357,2,1.33,10.0,5.75
https://www.premierleague.com/match/22684,2,6.5,1.55,4.33
https://www.premierleague.com/match/22693,0,2.04,3.79,3.6
https://www.premierleague.com/match/22486,0,1.72,5.5,3.79
https://www.premierleague.com/match/22518,0,1.55,6.0,4.59
https://www.premierleague.com/match/22507,2,5.25,1.66,4.2
https://www.premierleague.com/match/22553,2,2.37,3.39,3.2
https://www.premierleague.com/match/22353,1,2.63,3.0,3.2
https://www.premierleague.com/match/22510,1,2.1,3.89,3.39
https://www.premierleague.com/match/22649,1,3.1,2.54,3.25
https://www.premierleague.com/match/22372,0,1.36,9.0,5.5
https://www.premierleague.com/match/22503,0,2.29,3.25,3.5
https://www.premierleague.com/match/22686,0,2.29,3.39,3.39
https://www.premierleague.com/match/22388,0,2.38,3.4,3.25
https://www.premierleague.com/match/22465,2,2.14,3.5,3.6
https://www.premierleague.com/match/22602,0,1.36,8.0,4.75
https://www.premierleague.com/match/22689,2,2.29,3.5,3.29
https://www.premierleague.com/match/22524,1,7.0,1.55,4.2
https://www.premierleague.com/match/22539,0,1.36,10.0,5.25
https://www.premierleague.com/match/22535,2,2.5,3.2,3.2
https://www.premierleague.com/match/22525,2,6.0,1.66,3.89
https://www.premierleague.com/match/22452,0,2.5,2.89,3.6
https://www.premierleague.com/match/22655,1,7.0,1.44,4.33
https://www.premierleague.com/match/22630,0,1.19,17.0,7.5
https://www.premierleague.com/match/22502,0,2.29,3.6,3.2
https://www.premierleague.com/match/22617,2,1.72,5.25,3.89
https://www.premierleague.com/match/22348,1,5.5,1.7,4.0
https://www.premierleague.com/match/22461,1,6.5,1.61,4.0
https://www.premierleague.com/match/22716,0,1.39,8.5,5.25
https://www.premierleague.com/match/22485,0,1.25,15.0,6.5
https://www.premierleague.com/match/22605,0,1.19,13.0,6.5
https://www.premierleague.com/match/22352,1,2.0,4.0,3.6
https://www.premierleague.com/match/22532,2,2.79,2.75,3.29
https://www.premierleague.com/match/22522,2,2.54,2.79,3.6
https://www.premierleague.com/match/22379,2,7.5,1.5,4.5
https://www.premierleague.com/match/22415,2,2.05,4.2,3.4
https://www.premierleague.com/match/22681,2,2.0,4.0,3.6
https://www.premierleague.com/match/22484,1,7.5,1.5,4.5
https://www.premierleague.com/match/22433,1,6.0,1.61,4.2
https://www.premierleague.com/match/22665,2,1.28,12.0,6.0
https://www.premierleague.com/match/22712,1,2.14,3.6,3.5
https://www.premierleague.com/match/22493,2,2.04,4.0,3.5
https://www.premierleague.com/match/22455,0,2.14,4.0,3.2
https://www.premierleague.com/match/22545,2,2.37,3.5,3.1
https://www.premierleague.com/match/22422,0,1.36,10.0,5.25
