match_url,result,B365H,B365A,B365D
https://www.premierleague.com/match/14138,0,1.75,5.25,3.75
https://www.premierleague.com/match/14092,0,2.9,2.7,3.2
https://www.premierleague.com/match/14318,0,2.3,3.4,3.4
https://www.premierleague.com/match/14304,1,11.0,1.29,6.5
https://www.premierleague.com/match/14363,1,7.0,1.5,4.0
https://www.premierleague.com/match/14399,0,8.5,1.4,5.25
https://www.premierleague.com/match/14328,0,5.25,1.73,4.0
https://www.premierleague.com/match/14372,1,5.75,1.67,4.0
https://www.premierleague.com/match/14359,0,2.1,3.7,3.6
https://www.premierleague.com/match/14258,2,6.0,1.6,4.2
https://www.premierleague.com/match/14228,1,2.9,2.6,3.4
https://www.premierleague.com/match/14076,1,4.6,1.85,3.75
https://www.premierleague.com/match/14350,1,6.5,1.6,4.0
https://www.premierleague.com/match/14155,1,2.3,3.4,3.4
https://www.premierleague.com/match/14200,1,3.0,2.6,3.3
https://www.premierleague.com/match/14365,0,1.95,4.0,3.3
https://www.premierleague.com/match/14152,2,2.6,2.9,3.4
https://www.premierleague.com/match/14100,1,9.0,1.4,5.0
https://www.premierleague.com/match/14043,0,1.65,6.0,4.0
https://www.premierleague.com/match/14343,0,1.45,8.5,4.5
https://www.premierleague.com/match/14078,2,5.75,1.67,4.0
https://www.premierleague.com/match/14287,1,3.9,2.1,3.4
https://www.premierleague.com/match/14231,1,1.75,4.75,3.5
https://www.premierleague.com/match/14265,2,9.5,1.36,5.25
https://www.premierleague.com/match/14087,0,1.33,11.0,5.5
https://www.premierleague.com/match/14338,2,2.0,4.33,3.4
https://www.premierleague.com/match/14224,0,2.1,3.7,3.6
https://www.premierleague.com/match/14141,1,1.65,5.5,4.2
https://www.premierleague.com/match/14183,2,3.5,2.3,3.3
https://www.premierleague.com/match/14166,2,1.45,8.0,4.75
https://www.premierleague.com/match/14208,1,5.75,1.7,3.8
https://www.premierleague.com/match/14271,1,1.7,5.5,3.9
https://www.premierleague.com/match/14174,0,1.83,5.25,3.5
https://www.premierleague.com/match/14150,1,6.5,1.53,4.5
https://www.premierleague.com/match/14222,0,1.25,14.0,6.5
https://www.premierleague.com/match/14238,0,1.75,5.5,3.7
https://www.premierleague.com/match/14059,0,1.95,4.0,3.75
https://www.premierleague.com/match/14356,1,10.0,1.36,5.25
https://www.premierleague.com/match/14267,1,6.0,1.57,4.5
https://www.premierleague.com/match/14240,0,3.6,2.2,3.4
https://www.premierleague.com/match/14302,2,1.25,15.0,6.5
https://www.premierleague.com/match/14131,0,1.8,4.75,3.8
https://www.premierleague.com/match/14052,0,1.53,7.5,4.2
https://www.premierleague.com/match/14063,1,8.0,1.44,4.1
https://www.premierleague.com/match/14217,1,2.8,2.6,3.25
https://www.premierleague.com/match/14252,0,1.18,19.0,8.0
https://www.premierleague.com/match/14347,0,2.4,3.1,3.5
https://www.premierleague.com/match/14412,0,1.14,23.0,9.0
https://www.premierleague.com/match/14115,2,1.5,7.0,4.75
https://www.premierleague.com/match/14108,2,2.38,3.3,3.3
https://www.premierleague.com/match/14132,2,1.2,19.0,7.0
https://www.premierleague.com/match/14396,2,1.62,6.0,4.2
https://www.premierleague.com/match/14165,0,1.17,19.0,8.5
https://www.premierleague.com/match/14105,2,2.5,3.2,3.25
https://www.premierleague.com/match/14406,1,4.2,1.91,3.8
https://www.premierleague.com/match/14185,2,1.3,11.0,6.0
https://www.premierleague.com/match/14382,2,1.36,8.0,4.75
https://www.premierleague.com/match/14329,1,2.3,3.3,3.5
https://www.premierleague.com/match/14295,2,1.91,4.2,3.75
https://www.premierleague.com/match/14377,0,1.14,23.0,9.0
https://www.premierleague.com/match/14352,0,1.75,5.0,3.9
https://www.premierleague.com/match/14307,1,3.6,2.2,3.4
