match_url,result,B365H,B365A,B365D
https://www.premierleague.com/match/38417,1,3.1,2.45,3.4
https://www.premierleague.com/match/38425,0,1.4,8.5,5.25
https://www.premierleague.com/match/38533,0,1.3,12.0,5.75
https://www.premierleague.com/match/38519,0,2.4,3.25,3.3
https://www.premierleague.com/match/38590,1,2.8,2.75,3.3
https://www.premierleague.com/match/38674,0,1.12,17.0,8.5
https://www.premierleague.com/match/38548,2,2.55,3.0,3.3
https://www.premierleague.com/match/38530,1,5.25,1.75,3.8
https://www.premierleague.com/match/38683,0,1.3,11.0,6.0
https://www.premierleague.com/match/38661,0,2.4,3.0,3.6
https://www.premierleague.com/match/38387,1,2.14,3.5,3.6
https://www.premierleague.com/match/38649,1,1.65,5.25,4.4
https://www.premierleague.com/match/38310,1,2.5,3.0,3.4
https://www.premierleague.com/match/38665,2,1.9,4.1,3.9
https://www.premierleague.com/match/38477,0,1.95,4.33,3.6
https://www.premierleague.com/match/38666,1,1.4,7.5,5.5
https://www.premierleague.com/match/38628,1,2.1,3.75,3.6
https://www.premierleague.com/match/38460,0,2.9,2.75,3.2
https://www.premierleague.com/match/38650,1,17.0,1.2,7.5
https://www.premierleague.com/match/38579,1,3.75,2.15,3.4
https://www.premierleague.com/match/38509,2,2.6,2.75,3.6
https://www.premierleague.com/match/38475,0,1.18,19.0,8.0
https://www.premierleague.com/match/38544,2,1.22,15.0,7.0
https://www.premierleague.com/match/38507,2,1.85,4.0,3.6
https://www.premierleague.com/match/38550,0,3.25,2.3,3.5
https://www.premierleague.com/match/38456,2,1.6,6.5,4.0
https://www.premierleague.com/match/38397,1,1.75,5.25,3.75
https://www.premierleague.com/match/38584,0,1.28,12.0,6.0
https://www.premierleague.com/match/38352,0,1.12,26.0,10.0
https://www.premierleague.com/match/38391,2,1.75,5.25,3.8
https://www.premierleague.com/match/38657,2,1.75,6.0,3.5
https://www.premierleague.com/match/38634,1,9.0,1.4,5.0
https://www.premierleague.com/match/38405,2,2.1,3.9,3.4
https://www.premierleague.com/match/38559,2,2.1,3.75,3.5
https://www.premierleague.com/match/38368,0,1.44,7.0,5.1
https://www.premierleague.com/match/38616,0,1.55,7.0,4.2
https://www.premierleague.com/match/38581,0,5.0,1.85,3.5
https://www.premierleague.com/match/38344,1,7.5,1.44,5.0
https://www.premierleague.com/match/38334,1,5.75,1.66,4.0
https://www.premierleague.com/match/38485,2,2.0,4.0,3.6
https://www.premierleague.com/match/38538,0,1.22,15.0,7.0
