match_url,result,B365H,B365A,B365D
https://www.premierleague.com/match/12301,0,2.2,3.75,3.25
https://www.premierleague.com/match/12469,0,3.1,2.4,3.5
https://www.premierleague.com/match/12494,0,1.67,5.25,4.2
https://www.premierleague.com/match/12466,1,4.0,2.1,3.4
https://www.premierleague.com/match/12257,2,1.44,9.0,4.5
https://www.premierleague.com/match/12126,1,1.95,4.33,3.6
https://www.premierleague.com/match/12207,0,2.2,3.4,3.6
https://www.premierleague.com/match/12123,1,3.4,2.3,3.4
https://www.premierleague.com/match/12487,0,1.8,4.5,4.0
https://www.premierleague.com/match/12421,2,2.5,3.0,3.4
https://www.premierleague.com/match/12162,0,1.91,4.33,3.75
https://www.premierleague.com/match/12459,2,4.5,1.8,4.0
https://www.premierleague.com/match/12192,0,2.0,3.8,3.8
https://www.premierleague.com/match/12176,0,1.53,7.0,4.33
https://www.premierleague.com/match/12237,1,1.7,5.5,4.0
https://www.premierleague.com/match/12132,1,5.25,1.73,3.9
https://www.premierleague.com/match/12347,0,2.63,2.88,3.4
https://www.premierleague.com/match/12486,2,2.3,3.1,3.75
https://www.premierleague.com/match/12470,2,2.75,2.63,3.6
https://www.premierleague.com/match/12285,2,2.63,2.75,3.25
https://www.premierleague.com/match/12319,2,2.88,2.6,3.4
https://www.premierleague.com/match/12381,0,3.0,2.38,3.25
https://www.premierleague.com/match/12401,1,3.8,2.1,3.5
https://www.premierleague.com/match/12140,1,2.38,3.2,3.4
https://www.premierleague.com/match/12228,0,2.45,3.1,3.4
https://www.premierleague.com/match/12340,0,2.05,4.0,3.5
https://www.premierleague.com/match/12490,0,3.5,2.15,3.6
https://www.premierleague.com/match/12200,2,2.5,3.0,3.5
https://www.premierleague.com/match/12333,2,4.33,1.95,3.6
https://www.premierleague.com/match/12188,0,1.83,5.0,3.6
https://www.premierleague.com/match/12399,2,2.38,3.25,3.4
https://www.premierleague.com/match/12364,2,2.15,3.9,3.3
https://www.premierleague.com/match/12348,0,1.7,5.75,3.75
https://www.premierleague.com/match/12489,0,1.36,9.0,5.5
https://www.premierleague.com/match/12416,0,2.63,2.88,3.4
https://www.premierleague.com/match/12371,1,3.2,2.5,3.25
https://www.premierleague.com/match/12320,2,1.53,6.0,4.75
