match_url,result,B365H,B365A,B365D
https://www.premierleague.com/match/46649,0,1.95,4.0,3.5
https://www.premierleague.com/match/46866,0,2.1,3.7,3.3
https://www.premierleague.com/match/46908,0,1.22,13.0,6.5
https://www.premierleague.com/match/46972,0,2.25,3.25,3.3
https://www.premierleague.com/match/46829,2,1.1,19.0,11.0
https://www.premierleague.com/match/46739,2,1.45,7.0,4.5
https://www.premierleague.com/match/46627,1,2.4,3.0,3.3
https://www.premierleague.com/match/46702,1,3.1,2.3,3.4
https://www.premierleague.com/match/46833,2,3.25,2.2,3.5
https://www.premierleague.com/match/46884,0,2.65,2.5,3.6
https://www.premierleague.com/match/46789,0,1.7,5.0,3.75
https://www.premierleague.com/match/46757,2,2.62,2.87,3.1
https://www.premierleague.com/match/46905,0,3.0,2.45,3.25
https://www.premierleague.com/match/46935,2,2.3,3.0,3.5
https://www.premierleague.com/match/46801,2,5.0,1.66,4.0
https://www.premierleague.com/match/46897,0,3.1,2.37,3.25
https://www.premierleague.com/match/46677,0,2.87,2.5,3.3
https://www.premierleague.com/match/46683,2,2.05,3.6,3.4
https://www.premierleague.com/match/46775,1,2.4,2.8,3.6
https://www.premierleague.com/match/46664,0,3.1,2.2,3.6
https://www.premierleague.com/match/46722,1,2.9,2.45,3.3
https://www.premierleague.com/match/46611,1,1.9,4.0,3.4
https://www.premierleague.com/match/46888,0,2.55,2.9,3.2
https://www.premierleague.com/match/46762,0,1.4,8.0,4.75
https://www.premierleague.com/match/46776,1,2.4,2.9,3.4
https://www.premierleague.com/match/46932,0,8.5,1.3,6.0
https://www.premierleague.com/match/46726,0,2.05,3.7,3.4
https://www.premierleague.com/match/46644,0,1.85,3.9,3.9
https://www.premierleague.com/match/46696,0,2.9,2.5,3.25
https://www.premierleague.com/match/46693,2,1.4,7.5,5.0
https://www.premierleague.com/match/46672,1,9.0,1.33,5.25
https://www.premierleague.com/match/46893,1,1.61,5.25,4.1
https://www.premierleague.com/match/46869,1,4.5,1.7,4.2
https://www.premierleague.com/match/46968,0,2.0,3.5,3.75
https://www.premierleague.com/match/46618,2,1.7,5.0,3.75
https://www.premierleague.com/match/46727,1,2.75,2.6,3.3
https://www.premierleague.com/match/46856,1,4.0,1.85,3.8
https://www.premierleague.com/match/46758,0,3.5,2.0,3.75
https://www.premierleague.com/match/46977,0,1.85,4.0,3.8
https://www.premierleague.com/match/46605,0,1.14,19.0,10.0
https://www.premierleague.com/match/46685,0,2.35,3.0,3.4
https://www.premierleague.com/match/46753,0,1.36,8.5,5.0
https://www.premierleague.com/match/46942,0,3.8,2.1,3.2
https://www.premierleague.com/match/46802,2,1.95,3.8,3.6
https://www.premierleague.com/match/46832,1,2.4,3.0,3.4
https://www.premierleague.com/match/46642,2,2.5,2.87,3.25
https://www.premierleague.com/match/46761,1,2.9,2.37,3.5
https://www.premierleague.com/match/46650,0,15.0,1.14,9.0
https://www.premierleague.com/match/46978,2,6.0,1.55,4.2
https://www.premierleague.com/match/46964,0,2.4,3.3,3.0
https://www.premierleague.com/match/46687,0,1.3,10.0,5.5
https://www.premierleague.com/match/46886,2,2.7,2.62,3.3
https://www.premierleague.com/match/46704,2,2.1,3.5,3.5
https://www.premierleague.com/match/46730,1,1.36,8.0,5.1
https://www.premierleague.com/match/46895,1,6.0,1.5,4.5
https://www.premierleague.com/match/46779,0,1.36,7.5,5.25
https://www.premierleague.com/match/46880,2,2.62,2.9,3.1
https://www.premierleague.com/match/46857,2,2.1,3.6,3.4
https://www.premierleague.com/match/46973,1,8.5,1.33,5.5
https://www.premierleague.com/match/46925,2,2.9,2.7,3.0
https://www.premierleague.com/match/46796,0,1.75,4.33,3.9
https://www.premierleague.com/match/46947,1,10.0,1.28,5.5
https://www.premierleague.com/match/46887,0,1.8,4.2,3.9
https://www.premierleague.com/match/46729,1,7.5,1.4,4.75
https://www.premierleague.com/match/46607,0,2.62,2.75,3.2
https://www.premierleague.com/match/46752,0,2.2,3.25,3.4
https://www.premierleague.com/match/46669,1,10.0,1.3,5.5
https://www.premierleague.com/match/46956,2,4.5,1.9,3.3
https://www.premierleague.com/match/46952,0,2.62,2.7,3.4
https://www.premierleague.com/match/46819,0,1.85,4.0,3.8
https://www.premierleague.com/match/46826,2,1.66,5.0,4.0
https://www.premierleague.com/match/46944,1,2.0,3.9,3.4
https://www.premierleague.com/match/46906,0,4.0,1.8,4.0
https://www.premierleague.com/match/46734,1,4.2,1.7,4.33
https://www.premierleague.com/match/46849,0,1.25,12.0,6.0
https://www.premierleague.com/match/46882,1,2.45,3.0,3.2
https://www.premierleague.com/match/46876,2,4.75,1.72,3.8
https://www.premierleague.com/match/46774,1,3.25,2.25,3.4
https://www.premierleague.com/match/46911,1,3.9,1.9,3.6
https://www.premierleague.com/match/46728,1,3.75,2.0,3.5
https://www.premierleague.com/match/46939,1,8.5,1.4,4.5
https://www.premierleague.com/match/46951,0,6.0,1.6,3.8
https://www.premierleague.com/match/46641,0,1.08,26.0,10.0
https://www.premierleague.com/match/46950,1,3.75,1.95,3.75
https://www.premierleague.com/match/46919,1,2.25,3.4,3.2
https://www.premierleague.com/match/46958,1,9.5,1.36,4.75
https://www.premierleague.com/match/46708,0,1.72,4.33,4.2
https://www.premierleague.com/match/46736,1,1.28,9.0,6.0
https://www.premierleague.com/match/46839,1,1.36,9.0,4.75
https://www.premierleague.com/match/46636,1,9.5,1.3,5.5
https://www.premierleague.com/match/46725,2,1.45,6.5,4.75
https://www.premierleague.com/match/46674,0,1.85,4.5,3.4
https://www.premierleague.com/match/46842,2,1.72,4.5,3.9
https://www.premierleague.com/match/46705,2,1.75,4.75,3.75
https://www.premierleague.com/match/46820,1,1.6,5.5,4.0
https://www.premierleague.com/match/46899,0,1.12,15.0,9.0
https://www.premierleague.com/match/46784,1,8.5,1.33,5.5
